,symbol,company_name,sector,sub_industry,market_cap
52,ATO,Atmos Energy,Utilities,Gas Utilities,16822622208
367,PAYC,Paycom,Information Technology,Application Software,16798824448
208,FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,16797015040
209,FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,16742283264
118,CMS,CMS Energy,Utilities,Multi-Utilities,16679805952
315,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,16549217280
64,WRB,Berkley,Financials,Property & Casualty Insurance,16410269696
256,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,16346231808
298,MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,16314009600
333,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",16248847360
193,FDS,FactSet,Financials,Financial Exchanges & Data,16245552128
344,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,16243604480
188,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Restaurants & Leisure",16234499072
181,ESS,Essex Property Trust,Real Estate,Residential REITs,16215291904
456,TYL,Tyler Technologies,Information Technology,Application Software,16195115008
95,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,15884664832
444,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,15855839232
14,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,15743775744
253,PODD,Insulet,Health Care,Health Care Equipment,15725463552
447,TXT,Textron,Industrials,Aerospace & Defense,15724989440
355,OMC,Omnicom Group,Communication Services,Advertising,15685161984
57,AXON,Axon Enterprise,Industrials,Aerospace & Defense,15509262336
177,EQT,EQT,Energy,Oil & Gas Exploration & Production,15481937920
184,EG,Everest Re,Financials,Reinsurance,15422382080
102,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,15244027904
421,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,15135468544
393,DGX,Quest Diagnostics,Health Care,Health Care Services,15106094080
124,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,14872345600
56,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,14856834048
403,RVTY,Revvity,Health Care,Health Care Equipment,14812073984
251,INCY,Incyte,Health Care,Biotechnology,14615610368
378,POOL,Pool Corporation,Consumer Discretionary,Distributors,14509328384
294,L,Loews Corporation,Financials,Multi-line Insurance,14359853056
426,SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,14305088512
26,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,14262998016
432,SYF,Synchrony Financial,Financials,Consumer Finance,14255858688
422,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,14214960128
115,CFG,Citizens Financial Group,Financials,Regional Banks,14190648320
292,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,14178397184
285,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,14156601344
414,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",13973894144
323,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,13929835520
210,BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,13808792576
342,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,13777598464
454,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,13733855232
156,DPZ,Domino's,Consumer Discretionary,Restaurants,13730996224
176,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,13704204288
43,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,13618475008
98,CE,Celanese,Materials,Specialty Chemicals,13612642304
488,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",13597322240
362,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,13581560832
474,VTRS,Viatris,Health Care,Pharmaceuticals,13483091968
287,LDOS,Leidos,Industrials,Diversified Support Services,13429821440
329,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,13413881856
499,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,13389879296
90,KMX,CarMax,Consumer Discretionary,Automotive Retail,13333938176
215,GEN,Gen Digital,Information Technology,Application Software,13276774400
185,EVRG,Evergy,Utilities,Electric Utilities,13267522560
68,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,13218409472
304,MAS,Masco,Industrials,Building Products,13185713152
87,CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,13151818752
20,LNT,Alliant Energy,Utilities,Electric Utilities,12873579520
10,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,12700650496
258,IPG,Interpublic Group of Companies (The),Communication Services,Advertising,12632929280
277,KIM,Kimco Realty,Real Estate,Retail REITs,12611701760
266,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,12506857472
306,MTCH,Match Group,Communication Services,Interactive Media & Services,12358098944
338,NWS,News Corp (Class B),Communication Services,Publishing,12217507840
337,NWSA,News Corp (Class A),Communication Services,Publishing,12136586240
257,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,12013378560
85,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,11699565568
240,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,11536328704
86,CPT,Camden Property Trust,Real Estate,Residential REITs,11439548416
369,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,11434334208
495,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,11388904448
101,CDAY,Ceridian,Information Technology,Application Software,11354470400
230,PEAK,Healthpeak,Real Estate,Health Care REITs,11332388864
67,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,11301211136
398,REG,Regency Centers,Real Estate,Retail REITs,11083177984
204,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,11056295936
83,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,10999992320
341,NI,NiSource,Utilities,Multi-Utilities,10979214336
103,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,10947766272
223,GL,Globe Life,Financials,Life & Health Insurance,10908899328
1,AOS,A. O. Smith,Industrials,Building Products,10692664320
443,TFX,Teleflex,Health Care,Health Care Equipment,10679955456
75,BXP,Boston Properties,Real Estate,Office REITs,10475794432
274,KEY,KeyCorp,Financials,Regional Banks,10428744704
29,AAL,American Airlines Group,Industrials,Passenger Airlines,10123843584
231,HSIC,Henry Schein,Health Care,Health Care Distributors,10009612288
390,QRVO,Qorvo,Information Technology,Semiconductors,9949430784
163,EMN,Eastman Chemical Company,Materials,Diversified Chemicals,9938468864
364,PARA,Paramount Global,Communication Services,Movies & Entertainment,9850769408
423,SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,9791063040
19,ALLE,Allegion,Industrials,Building Products,9754608640
143,DVA,DaVita Inc.,Health Care,Health Care Facilities,9612494848
74,BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,9514606592
192,FFIV,"F5, Inc.",Information Technology,Communications Equipment,9463845888
183,ETSY,Etsy,Consumer Discretionary,Broadline Retail,9446456320
466,UHS,Universal Health Services,Health Care,Health Care Facilities,9124165632
300,MKTX,MarketAxess,Financials,Financial Exchanges & Data,9078702080
245,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,9024872448
228,HAS,Hasbro,Consumer Discretionary,Leisure Products,8949982208
271,JNPR,Juniper Networks,Information Technology,Communications Equipment,8893627392
375,PNW,Pinnacle West,Utilities,Multi-Utilities,8720711680
61,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,8570464768
489,WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials,8567548928
196,FRT,Federal Realty,Real Estate,Retail REITs,8351613440
347,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,8315979776
438,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",8207967232
93,CTLT,Catalent,Health Care,Pharmaceuticals,8196066304
146,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,8192174592
404,RHI,Robert Half,Industrials,Human Resource & Employment Services,8141494784
473,VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",7923996160
394,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",7850689536
491,WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,7701374464
50,AIZ,Assurant,Financials,Multi-line Insurance,7573039616
261,IVZ,Invesco,Financials,Asset Management & Custody Banks,7535317504
346,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",7486512128
123,CMA,Comerica,Financials,Diversified Banks,6657235456
216,GNRC,Generac,Industrials,Electrical Components & Equipment,6514437632
321,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,6448514560
359,OGN,Organon & Co.,Health Care,Pharmaceuticals,5876628480
15,ALK,Alaska Air Group,Industrials,Passenger Airlines,5831462400
501,ZION,Zions Bancorporation,Financials,Regional Banks,5530215936
415,SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,5457068544
289,LNC,Lincoln Financial,Financials,Multi-line Insurance,4442446336
335,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,4279723520
162,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,4263899136
9,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,4248158208
65,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0
81,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,0
